,Name,Class,Boat
1930,"ROSS, Mr Horace Leopold",Crew,13
1932,"ROTH, Miss Sarah",3,C
1933,"ROTHES,  Lucy Noël Martha, Countess of",1,8
1935,"ROTHSCHILD, Mrs Elizabeth Jane Anne",1,6
1942,"ROWE, Mr George Thomas",Crew,C
1944,"RUGG, Miss Emily",2,12
1945,"RULE, Mr Samuel James",Crew,Unknown
1949,"RYAN, Mr Edward",3,14
1952,"RYERSON, Master John Borie",1,4
1953,"RYERSON, Miss Emily Borie",1,4
1954,"RYERSON, Miss Susan Parker",1,4
1956,"RYERSON, Mr William Edwy",Crew,Unknown
1957,"RYERSON, Mrs Emily Maria",1,4
1959,"SAALFELD, Mr Adolphe",1,3
1975,"SALKJELSVIK, Miss Anna Kristine",3,C
1976,"SALOMON, Mr Abraham Lincoln",1,1
1984,"SANDSTRöM, Miss Beatrice Irene",3,13
1985,"SANDSTRöM, Miss Marguerite Rut",3,13
1986,"SANDSTRöM, Mrs Agnes Charlotta",3,13
1988,"SAP, Mr Julius",3,11
1995,"SAVAGE, Mr Charles James",Crew,11
1999,"SCARROTT, Mr Joseph George",Crew,14
2001,"SCHABERT, Mrs Emma",1,11
2002,"SCHEERLINCK, Mr Jean",3,11
2005,"SCOTT, Mr Frederick William",Crew,4
2011,"SELF, Mr Albert Charles Edward",Crew,Unknown
2014,"SENIOR, Mr Harry",Crew,Unknown
2015,"SERREPLAà, Miss Augusta Jeanne",1,4
2017,"SEWARD, Mr Frederic Kimber",1,7
2018,"SEWARD, Mr Wilfred Deable",Crew,3
2028,"SHEATH, Mr Frederick",Crew,1
2030,"SHELLEY, Mrs Imanita Parrish",2,12
2032,"SHIERS, Mr Alfred Charles",Crew,Unknown
2035,"SHINE, Miss Ellen",3,Unknown
2037,"SHULVER, Mr Christopher Arthur",Crew,Unknown
2038,"SHUTES, Miss Elizabeth Weed",1,3
2040,"SILVERTHORNE, Mr Spencer Victor",1,5
2042,"SILVEY, Mrs Alice Gray",1,11
2043,"SILVéN, Miss Lyyli Karoliina",2,12
2044,"SIMMONS, Mr Andrew George James",Crew,Unknown
2049,"SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons",1,3
2052,"SINCOCK, Miss Maude",2,11
2053,"SINKKONEN, Miss Anna",2,10
2059,"SJöBLOM, Miss Anna Sofia",3,16
2073,"SLAYTER, Miss Hilda Mary",2,13
2077,"SLOAN, Miss Mary Jane",Crew,Unknown
2080,"SLOCOMBE, Mrs Maude Louise",Crew,Unknown
2082,"SLOPER, Mr William Thompson",1,7
2088,"SMITH, Miss Kate Elizabeth",Crew,Unknown
2089,"SMITH, Miss Marion",2,Unknown
2103,"SMITH, Mrs Mary Eloise",1,6
2105,"SMYTH, Miss Julia",3,13
2111,"SNOW, Mr Eustace Philip",Crew,Unknown
2112,"SNYDER, Mr John Pillsbury",1,7
2113,"SNYDER, Mrs Nelle",1,7
2116,"SPARKMAN, Mr Henry William",Crew,Unknown
2118,"SPEDDEN, Master Robert Douglas",1,3
2119,"SPEDDEN, Mr Frederic Oakley",1,3
2120,"SPEDDEN, Mrs Margaretta Corning",1,3
2122,"SPENCER, Mrs Marie Eugenie",1,6
2128,"STANLEY, Miss Amy Zillah Elsie",3,C
2131,"STAP, Miss Sarah Agnes",Crew,11
2136,"STENGEL, Mr Charles Emil Henry",1,1
2137,"STENGEL, Mrs Annie May",1,5
2138,"STEPHENSON, Mrs Martha",1,4
2144,"STEWART, Mr John",Crew,15
2151,"STONE, Mrs Martha Evelyn",1,6
2155,"STRANDéN, Mr Juho Niilosson",3,15
2159,"STREET, Mr Thomas Albert",Crew,9
2168,"STäHELIN-MAEGLIN, Dr Max",1,3
2169,"SUNDERLAND, Mr Victor Francis",3,B
2170,"SUNDMAN, Mr Johan Julian",3,15
2174,"SVENSSON, Mr Johan Cervin",3,13
2181,"SWIFT, Mrs Margaret Welles",1,8
2183,"SYMONS, Mr George Thomas Macdonald",Crew,1
2184,"SäGESSER, Mlle Emma",1,9
2190,"TANNūS, Master As'ad",3,16
2192,"TANNūS, Mrs Thamīn",3,14
2193,"TAUSSIG, Miss Ruth",1,8
2195,"TAUSSIG, Mrs Tillie",1,8
2198,"TAYLOR, Mr Elmer Zebley",1,5
2199,"TAYLOR, Mr George",Crew,1
2204,"TAYLOR, Mr William Henry",Crew,15
2206,"TAYLOR, Mrs Juliet Cummins",1,5
2207,"TENGLIN, Mr Gunnar Isidor",3,13
2209,"TERRILL, Mr Frank",Crew,11
2214,"THAYER, Mr John Borland",1,B
2215,"THAYER, Mrs Marian Longstreth",1,4
2216,"THEISSINGER, Mr Alfred",Crew,Unknown
2218,"THOMAS, Mr Albert Charles",Crew,15
2219,"THOMAS, Mr Benjamin James",Crew,15
2226,"THOMPSON, Mr John William",Crew,A
2229,"THORNE, Miss Gertrude Maybelle",1,D
2231,"THORNEYCROFT, Mrs Florence Kate",3,10
2232,"THRELFALL, Mr Thomas",Crew,Unknown
2233,"THRESHER, Mr George Terrill",Crew,9
2241,"TOMS, Mr Fred",Crew,15
2242,"TOOMEY, Miss Ellen Mary",2,9
2249,"TRIGGS, Mr Robert",Crew,3
2251,"TROUT, Mrs Jessie Laird",2,9
2252,"TROUTT, Miss Edwina Celia",2,16
2254,"TU'MAH, Master Jirjis Yūsuf",3,C
2255,"TU'MAH, Miss Mariyam",3,C
2256,"TU'MAH, Mrs Hinnah",3,C
2257,"TUCKER, Mr Gilbert Milligan jr",1,7
2258,"TURJA, Miss Anna Sofia",3,15
2259,"TURKULA, Mrs Hedwig",3,15
2268,"TöRNQVIST, Mr Johan Vilhelm Henrik",3,Unknown
2290,"VARTANIAN, Mr David",3,Unknown
2298,"VIGOTT, Mr Philip Francis",Crew,13
2310,"WALLCROFT, Miss Ellen 'Nellie'",2,14
2315,"WARD, Miss Annie Moore",1,3
2321,"WARD, Mr William",Crew,9
2326,"WARE, Mrs Florence Louise",2,10
2330,"WARREN, Mrs Anna Sophia",1,5
2336,"WATT, Miss Robertha Josephine",2,9
2337,"WATT, Mrs Elizabeth",2,9
2343,"WEBBER, Miss Susan",2,12
2346,"WEIKMAN, Mr Augustus Henry",Crew,Unknown
2349,"WEISZ, Mrs Mathilde Françoise",2,10
2351,"WELLER, Mr William Clifford",Crew,7
2352,"WELLS, Master Ralph Lester",2,14
2353,"WELLS, Miss Joan",2,14
2354,"WELLS, Mrs Addie Dart",2,14
2357,"WENNERSTRöM, Mr August",3,A
2358,"WEST, Miss Barbara Joyce",2,11
2359,"WEST, Miss Constance Miriam",2,11
2361,"WEST, Mrs Ada Mary",2,11
2363,"WHEAT, Mr Joseph Thomas",Crew,11
2365,"WHEELTON, Mr Edenser Edward",Crew,11
2366,"WHILEMS, Mr Charles",2,9
2369,"WHITE, Mr Alfred",Crew,4
2376,"WHITE, Mr William George",Crew,15
2377,"WHITE, Mrs Ella",1,8
2378,"WHITELEY, Mr Thomas Arthur",Crew,Unknown
2381,"WICK, Miss Mary Natalie",1,8
2382,"WICK, Mrs Mary Peebles",1,8
2386,"WIDENER, Mrs Eleanor",1,4
2387,"WIDGERY, Mr Isaac George",Crew,Unknown
2392,"WILKES, Mrs Ellen",3,16
2393,"WILKINSON, Mrs Elizabeth Anne",2,16
2394,"WILLARD, Miss Constance",1,8
2399,"WILLIAMS, Mr Charles Eugene",2,14
2403,"WILLIAMS, Mr Richard Norris",1,A
2405,"WILLIAMS, Mr Walter John",Crew,Unknown
2409,"WILSON, Miss Helen Alice",1,3
2412,"WINDEBANK, Mr Alfred Edgar",Crew,13
2419,"WITTER, Mr James William Cheetham",Crew,Unknown
2430,"WOOLNER, Mr Hugh",1,D
2435,"WRIGHT, Miss Marion",2,9
2438,"WRIGHT, Mr William",Crew,13
2440,"WYNN, Mr William",Crew,9
2442,"YAZBAK, Mrs Sīlānah Iskandar Nāsīf Abī Dāghir",3,Unknown
2443,"YEARSLEY, Mr Harry",Crew,9
2445,"YOUNG, Miss Marie Grice",1,8
2449,"YūSUF, Master Michael (Shafīq) Peter",3,D
2450,"YūSUF, Miss Nabīah (Mary)",3,C
2451,"YūSUF, Mrs Kātrīn",3,C
2460,"ÖHMAN, Miss Velin Matilda",3,C
2461,"ØSTBY, Miss Helen Ragnhild",1,5
2474,"ḤANNā, Mr Mubārik Sulaymān Abī Āsī",3,15
